PARAM,AVG_TIME,RUN,FAILED,NB instances
20,45ms,1,0,2
20,43ms,2,0,2
20,43ms,3,0,2
40,82ms,1,0,3
40,78ms,2,0,4
40,78ms,3,0,4
60,118ms,1,0,5
60,112ms,2,0,5
60,112ms,3,0,5
